iter	Passed	Remaining
1553	29907	4734
1554	29933	4716
1555	29954	4697
1556	29972	4677
1557	29993	4658
1558	30014	4639
1559	30035	4620
1560	30053	4601
1561	30070	4581
1562	30086	4562
1563	30107	4543
1564	30127	4523
1565	30147	4504
1566	30166	4485
1567	30182	4465
1568	30205	4447
1569	30225	4428
1570	30248	4409
1571	30266	4389
1572	30282	4370
1573	30302	4350
1574	30322	4331
1575	30345	4313
1576	30367	4294
1577	30384	4274
1578	30405	4255
1579	30426	4236
1580	30443	4217
1581	30461	4197
1582	30490	4179
1583	30511	4160
1584	30533	4141
1585	30555	4122
1586	30575	4103
1587	30592	4084
1588	30613	4065
1589	30633	4045
1590	30653	4026
1591	30672	4007
1592	30693	3988
1593	30711	3969
1594	30729	3949
1595	30750	3930
1596	30772	3911
1597	30796	3892
1598	30818	3874
1599	30844	3855
1600	30863	3836
1601	30884	3817
1602	30903	3797
1603	30926	3779
1604	30948	3760
1605	30966	3740
1606	30988	3721
1607	31010	3702
1608	31032	3683
1609	31057	3665
1610	31076	3645
1611	31097	3626
1612	31119	3607
1613	31138	3588
1614	31156	3569
1615	31177	3549
1616	31198	3530
1617	31213	3511
1618	31235	3492
1619	31257	3473
1620	31275	3453
1621	31292	3434
1622	31310	3414
1623	31327	3395
1624	31347	3375
1625	31368	3356
1626	31386	3337
1627	31407	3318
1628	31425	3298
1629	31446	3279
1630	31463	3260
1631	31483	3240
1632	31505	3221
1633	31528	3203
1634	31548	3183
1635	31571	3164
1636	31589	3145
1637	31607	3126
1638	31623	3106
1639	31645	3087
1640	31679	3069
1641	31698	3050
1642	31718	3030
1643	31742	3012
1644	31761	2992
1645	31781	2973
1646	31801	2954
1647	31822	2935
1648	31841	2915
1649	31858	2896
1650	31879	2877
1651	31901	2858
1652	31915	2838
1653	31932	2818
1654	31957	2799
1655	31980	2780
1656	31998	2761
1657	32014	2741
1658	32038	2722
1659	32055	2703
1660	32076	2684
1661	32094	2664
1662	32114	2645
